Key,Key Description,Type,Source,Module
A,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
B,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
C,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
D,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
E,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
F,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
G,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
H,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
I,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data
J,,STRING,https://docs.google.com/spreadsheets/d/1xZy9M4cOhc4MXVo4laM8_MAXVzNneWHh/edit#gid=1556964974,Experimental Data